gouvernement,category,num_bedrooms,num_bathrooms,surface_area,transaction_type,date,price
"Ariana, Autres villes",Maisons et Villas,4,2,120,À Vendre,6 février 2020,200000
"Ariana, Ariana","Magasins, Commerces et Locaux industriels",1,20,,À Vendre,6 février 2020,0
"Ariana, Jardins D'el Menzah",Appartements,3,1,130,À Louer,6 février 2020,1400
"Ariana, Ariana Ville",Appartements,3,2,138,À Vendre,6 février 2020,295000
"Ariana, Autres villes","Magasins, Commerces et Locaux industriels",3,2,98,À Vendre,6 février 2020,65
"Ariana, Ghazela",Maisons et Villas,4,1,160,À Louer,6 février 2020,0
"Ariana, La Soukra",Maisons et Villas,3,1,90,À Louer,6 février 2020,470
"Ariana, La Soukra",Appartements,1,1,85,À Louer,6 février 2020,950
"Ariana, La Soukra",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Autres villes",Appartements,1,1,0,À Louer,6 février 2020,150
"Ariana, Mnihla",Terrains et Fermes,,,,,6 février 2020,260
"Ariana, La Soukra",Appartements,2,127,,À Vendre,6 février 2020,2500
"Ariana, Autres villes",Maisons et Villas,2,1,110,À Vendre,6 février 2020,115
"Ariana, Autres villes",Terrains et Fermes,,,,,6 février 2020,43000
"Ariana, Autres villes",Appartements,3,1,130,À Louer,6 février 2020,120
"Ariana, Ariana Ville",Terrains et Fermes,,,,,6 février 2020,470
"Ariana, Ariana Ville",Terrains et Fermes,,,,,6 février 2020,470
"Ariana, Mnihla",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Ghazela",Maisons et Villas,3,200,,À Vendre,6 février 2020,180000
"Ariana, Chotrana",Appartements,1,1,72,À Vendre,6 février 2020,160000
"Ariana, Jardins D'el Menzah","Magasins, Commerces et Locaux industriels",1,105,,À Louer,6 février 2020,2500
"Ariana, Ariana",Maisons et Villas,4,2,260,À Vendre,6 février 2020,490000
"Ariana, Ariana Ville",Bureaux et Plateaux,7,1,228,À Vendre,6 février 2020,0
"Ariana, Jardins D'el Menzah",Appartements,5,2,205,À Vendre,6 février 2020,385000
"Ariana, Chotrana",Appartements,2,1,62,À Vendre,6 février 2020,109000
"Ariana, Jardins D'el Menzah",Terrains et Fermes,,,,,6 février 2020,650
"Ariana, Mnihla",Maisons et Villas,5,3,4,À Louer,6 février 2020,0
"Ariana, La Soukra",Maisons et Villas,4,1,260,À Vendre,6 février 2020,650
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,250
"Ariana, Borj Louzir",Appartements,3,1,80,À Louer,6 février 2020,450
"Ariana, Borj Louzir",Appartements,3,1,85,À Vendre,6 février 2020,150000
"Ariana, Ariana",Maisons et Villas,3,2,120,À Louer,6 février 2020,0
"Ariana, Autres villes",Maisons et Villas,4,2,350,À Louer,6 février 2020,1700
"Ariana, Autres villes",Maisons et Villas,4,2,300,À Louer,6 février 2020,800
"Ariana, Mnihla",Terrains et Fermes,,,,,6 février 2020,0
"Ariana, Ghazela",Appartements,1,1,40,À Louer,5 février 2020,300
"Ariana, La Soukra",Maisons et Villas,,,,,5 février 2020,450000
"Ariana, Borj Louzir",Appartements,1,40,,À Louer,5 février 2020,320
"Ariana, Ghazela",Maisons et Villas,1,1,40,À Louer,5 février 2020,450
"Ariana, Borj Louzir","Magasins, Commerces et Locaux industriels",-1,1,120,À Louer,5 février 2020,490
"Ariana, Chotrana",Maisons et Villas,2,1,100,À Louer,5 février 2020,290
"Ariana, Ettadhamen",Maisons et Villas,3,1,1,À Louer,5 février 2020,600
"Ariana, Autres villes","Magasins, Commerces et Locaux industriels",1,2,85,À Louer,5 février 2020,0
"Ariana, Ariana",Maisons et Villas,2,1,80,À Louer,5 février 2020,380
"Ariana, Raoued",Maisons et Villas,2,1,90,À Louer,5 février 2020,250
"Ariana, La Soukra",Appartements,3,1,110,À Louer,5 février 2020,790
"Ariana, Raoued",Appartements,2,1,100,À Louer,5 février 2020,400
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,2820150
"Ariana, Ennasr",Bureaux et Plateaux,2,1,90,À Louer,5 février 2020,900
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Mnihla",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, La Soukra",Maisons et Villas,3,1,130,À Louer,5 février 2020,370
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Ariana",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,800000
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Ariana",Appartements,4,2,180,À Louer,5 février 2020,1200
"Ariana, Ariana",Maisons et Villas,6,3,350,À Louer,5 février 2020,2850
"Ariana, Ariana",Appartements,2,1,52,À Vendre,5 février 2020,85000
"Ariana, Ariana",Appartements,3,2,120,À Vendre,5 février 2020,245000
"Ariana, Ariana",Terrains et Fermes,,,,,5 février 2020,249000
"Ariana, Ariana",Terrains et Fermes,,,,,5 février 2020,190000
"Ariana, Ariana",Appartements,3,2,153,À Vendre,5 février 2020,339000
"Ariana, Ghazela",Appartements,2,1,115,À Vendre,5 février 2020,168000
"Ariana, Ariana",Maisons et Villas,3,2,609,À Vendre,5 février 2020,540000
"Ariana, Ariana",Maisons et Villas,3,2,161,À Vendre,5 février 2020,370000
"Ariana, Raoued",Appartements,3,1,100,À Vendre,5 février 2020,125
"Ariana, Ariana",Appartements,2,1,70,À Vendre,5 février 2020,230000
"Ariana, Ariana",Terrains et Fermes,,,,,5 février 2020,230000
"Ariana, Ariana",Maisons et Villas,3,4,1078,À Vendre,5 février 2020,1700000
"Ariana, Ariana",Bureaux et Plateaux,1,1,60,À Vendre,5 février 2020,160000
"Ariana, Ghazela",Bureaux et Plateaux,3,1,131,À Louer,5 février 2020,2500
"Ariana, Ghazela",Appartements,3,2,125,À Vendre,5 février 2020,210000
"Ariana, Ghazela",Terrains et Fermes,,,,,5 février 2020,120000
"Ariana, Ghazela",Bureaux et Plateaux,2,1,100,À Louer,5 février 2020,1600
"Ariana, Ghazela",Maisons et Villas,3,2,400,À Vendre,5 février 2020,650000
"Ariana, Ghazela",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Ghazela",Maisons et Villas,4,2,410,À Vendre,5 février 2020,530000
"Ariana, Ariana",Appartements,2,1,65,À Louer,5 février 2020,600
"Ariana, Ghazela",Maisons et Villas,4,2,120,À Vendre,5 février 2020,175000
"Ariana, Borj Louzir",Appartements,3,2,150,À Louer,5 février 2020,550
"Ariana, Jardins D'el Menzah",Terrains et Fermes,,,,,5 février 2020,530
"Ariana, Ennasr",Appartements,3,1,80,À Louer,5 février 2020,800
"Ariana, Ennasr",Appartements,2,1,60,À Louer,5 février 2020,650
"Ariana, Ennasr",Appartements,4,2,157,À Vendre,5 février 2020,441000
"Ariana, La Soukra",Appartements,3,2,187,À Vendre,5 février 2020,570000
"Ariana, Borj Louzir",Maisons et Villas,3,1,60,À Louer,5 février 2020,300
"Ariana, Jardins D'el Menzah",Appartements,1,1,57,À Vendre,5 février 2020,145000
"Ariana, Ennasr",Locations de vacances,1,1,60,À Louer,5 février 2020,70
"Ariana, La Soukra",Maisons et Villas,5,3,327,À Vendre,5 février 2020,840000
"Ariana, Mnihla",Maisons et Villas,3,1,155,À Louer,5 février 2020,465
"Ariana, Autres villes",Appartements,2,1,95,À Louer,5 février 2020,90
"Ariana, Autres villes",Appartements,2,1,95,À Louer,5 février 2020,90
"Ariana, Mnihla","Magasins, Commerces et Locaux industriels",1,1,750,À Vendre,5 février 2020,650
"Ariana, Ennasr",Appartements,1,1,50,À Louer,5 février 2020,650
"Ariana, La Soukra","Magasins, Commerces et Locaux industriels",2,1,40,À Vendre,5 février 2020,82000
"Ariana, La Soukra",Appartements,1,1,80,À Louer,5 février 2020,90
"Ariana, Chotrana",Terrains et Fermes,,,,,5 février 2020,480
"Ariana, Jardins D'el Menzah",Maisons et Villas,1,1,60,À Louer,5 février 2020,0
"Ariana, Mnihla",Appartements,3,1,130,À Louer,5 février 2020,650
"Ariana, Ghazela",Appartements,3,1,105,À Louer,5 février 2020,750
"Ariana, Jardins D'el Menzah",Appartements,2,2,126,À Vendre,5 février 2020,330000
"Ariana, Ghazela",Maisons et Villas,5,3,220,À Vendre,5 février 2020,480000
"Ariana, Autres villes",Autre Immobilier,,,,,5 février 2020,2000
"Ariana, La Soukra",Appartements,3,1,150,À Louer,5 février 2020,650
"Ariana, Ennasr",Appartements,3,2,163,À Vendre,5 février 2020,340000
"Ariana, Autres villes",Appartements,1,1,70,À Louer,5 février 2020,280
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, La Soukra","Magasins, Commerces et Locaux industriels",1,1,3366,À Vendre,5 février 2020,1250
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Ariana",Appartements,2,1,90,À Louer,5 février 2020,750
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Mnihla",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Mnihla",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Jardins D'el Menzah",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Ennasr",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Ariana",Appartements,-4,-2,260,À Vendre,5 février 2020,250
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Mnihla",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, La Soukra",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, La Soukra",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, La Soukra",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, La Soukra",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Chotrana",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Chotrana",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Ghazela",Maisons et Villas,4,1,100,À Louer,5 février 2020,530
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,180000
"Ariana, Ariana",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Ariana",Appartements,4,1,110,À Louer,5 février 2020,600
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Mnihla",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Ennasr",Appartements,2,1,105,À Vendre,5 février 2020,220000
"Ariana, Mnihla",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,0
"Ariana, Ariana",Appartements,4,1,153,À Vendre,5 février 2020,360000
"Ariana, Ennasr",Appartements,3,2,200,À Louer,5 février 2020,2300
"Ariana, La Soukra",Maisons et Villas,5,4,650,À Vendre,5 février 2020,0
"Ariana, Jardins D'el Menzah",Appartements,2,1,120,À Vendre,5 février 2020,230000
"Ariana, Jardins D'el Menzah",Appartements,1,1,1,À Louer,5 février 2020,600
"Ariana, La Soukra","Magasins, Commerces et Locaux industriels",2,1,160,À Louer,5 février 2020,800
"Ariana, Ennasr",Appartements,2,2,140,À Louer,5 février 2020,1250
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,200
"Ariana, Ennasr",Appartements,2,1,110,À Louer,5 février 2020,1100
"Ariana, Ennasr",Appartements,5,2,205,À Vendre,5 février 2020,385000
"Ariana, Ariana",Autre Immobilier,,,,,5 février 2020,0
"Ariana, Autres villes",Maisons et Villas,3,2,1,À Louer,5 février 2020,530
"Ariana, Ariana",Appartements,2,1,150,À Louer,5 février 2020,0
"Ariana, Raoued",Terrains et Fermes,,,,,5 février 2020,180
"Ariana, Ennasr",Appartements,2,2,150,À Louer,5 février 2020,1500
"Ariana, La Soukra","Magasins, Commerces et Locaux industriels",8,4,2000,À Louer,5 février 2020,0
"Ariana, Raoued",Appartements,3,1,85,À Louer,5 février 2020,330
"Ariana, La Soukra",Appartements,1,1,65,À Louer,5 février 2020,0
"Ariana, La Soukra",Maisons et Villas,5,4,380,À Vendre,5 février 2020,760000
"Ariana, La Soukra","Magasins, Commerces et Locaux industriels",1,1,200,À Louer,5 février 2020,1400
"Ariana, La Soukra",Appartements,3,2,135,À Louer,5 février 2020,900
"Ariana, Borj Louzir",Appartements,2,1,100,À Vendre,5 février 2020,90000
"Ariana, Borj Louzir","Magasins, Commerces et Locaux industriels",1,450,,À Louer,5 février 2020,2600
"Ariana, Chotrana",Maisons et Villas,3,600,,À Vendre,5 février 2020,850000
"Ariana, La Soukra",Appartements,3,2,140,À Vendre,5 février 2020,290000
"Ariana, La Soukra",Appartements,3,2,130,À Louer,5 février 2020,1400
"Ariana, Ariana",Bureaux et Plateaux,1,1,12,À Vendre,5 février 2020,50
"Ariana, Ennasr",Appartements,4,2,170,À Vendre,5 février 2020,295000
"Ariana, Ariana",Appartements,3,1,76,À Vendre,5 février 2020,120
"Ariana, Ariana",Maisons et Villas,5,3,686,À Vendre,5 février 2020,750000
"Ariana, Ennasr",Appartements,3,1,160,À Vendre,5 février 2020,310000
"Ariana, Borj Louzir",Appartements,4,1,130,À Vendre,5 février 2020,95000
"Ariana, Autres villes",Terrains et Fermes,,,,,5 février 2020,45
"Ariana, Jardins D'el Menzah",Appartements,1,1,66,À Louer,5 février 2020,650
"Ariana, Autres villes",Terrains et Fermes,,,,,5 février 2020,1
"Ariana, Ariana Ville",Appartements,1,1,36,À Louer,5 février 2020,400
"Ariana, La Soukra",Appartements,2,2,100,À Vendre,5 février 2020,310000
"Ariana, Mnihla",Terrains et Fermes,,,,,5 février 2020,270
"Ariana, Jardins D'el Menzah",Maisons et Villas,5,2,350,À Vendre,5 février 2020,310000
"Ariana, Ariana",Maisons et Villas,3,1,1,À Louer,5 février 2020,0
"Ariana, Jardins D'el Menzah",Appartements,1,1,70,À Louer,5 février 2020,830
"Ariana, Chotrana",Appartements,2,1,72,À Vendre,5 février 2020,160
"Ariana, Autres villes",Appartements,1,1,90,À Louer,5 février 2020,90
"Ariana, Autres villes",Locations de vacances,1,1,90,À Louer,5 février 2020,90
"Ariana, Autres villes",Locations de vacances,1,1,90,À Louer,5 février 2020,90
"Ariana, Autres villes",Locations de vacances,1,1,90,À Louer,5 février 2020,90
"Ariana, Raoued",Maisons et Villas,2,1,60,À Vendre,5 février 2020,0
"Ariana, Ennasr",Appartements,3,1,1,À Louer,5 février 2020,900
"Ariana, La Soukra","Magasins, Commerces et Locaux industriels",2,3,3000,À Louer,5 février 2020,6000
"Ariana, Ariana Ville",Terrains et Fermes,,,,,5 février 2020,470
"Ariana, Jardins D'el Menzah",Terrains et Fermes,,,,,5 février 2020,190000
"Ariana, Borj Louzir",Appartements,3,1,110,À Vendre,5 février 2020,220000
"Ariana, Ariana Ville",Terrains et Fermes,,,,,5 février 2020,470
"Ariana, Ariana",Appartements,2,1,80,À Louer,5 février 2020,580
"Ariana, Ariana",Maisons et Villas,4,675,,À Vendre,5 février 2020,1285000
